,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,ttFatJetParTXtauhtauhvsQCDTop >= 0.3,bbFatJetParTXbbvsQCD < 0.907 or BDTScoretauhtauhvsAll < 0.996
JetMET,25907.0,25050.0,10443.0,10404.0,10396.0
Tau,2645.0,2618.0,1204.0,1198.0,1198.0
QCD Multijet,11954.347935960155,11635.381322971534,4503.883876770025,4503.3171269692775,4503.292053895466
TT Had,296.78803756135454,279.74828388956115,166.1775918932559,166.15917124493058,166.15917124493058
TT SL,781.8908461384756,746.599162891039,333.02356912738287,324.07841370336683,324.07156545358515
TT LL,343.1544865307478,328.76810367192377,138.74205491800188,134.5402789538905,134.5402789538905
DY+Jets,2306.262322348275,2295.6267710908437,1671.6006122158694,1669.3147271863165,1669.0954122900896
W+Jets,333.0899980070536,315.98833452932087,140.2433028237266,140.0859058529388,140.34198486210806
Z+Jets,248.87592063246726,239.12171854109437,77.12111799155431,77.33044322781352,77.33044322781352
Hbb,11.223767001987547,10.919884325436836,4.41935953931738,4.415909642964568,4.352744756102628
ggF HHbb$\tau\tau$,0.6802681045168977,0.6693102828592185,0.4693753217906751,0.46932100828533374,0.41174082774537096
VBF HHbb$\tau\tau$ (SM),0.011651310393078852,0.011245585859939143,0.007822541678085743,0.00781755968516545,0.006763850058606739
ggF HHbb$\tau_h\tau_h$,0.3818044489153286,0.37540243432705817,0.2580497765003008,0.25802001050936474,0.2022966115141652
VBF HHbb$\tau_h\tau_h$ (SM),0.006422456361706543,0.006205946369920749,0.0042592473038729085,0.0042592473038729085,0.003244622921658494
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),3.7255708516449717,3.696387628088472,2.937943186900257,2.9378974065790167,2.0678627422640194
