,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.731,BDTScoretauhtaumvsAll >= 0.8
JetMET,60601.0,59353.0,47889.0,5217.0,1463.0
Tau,4755.0,4704.0,2289.0,238.0,111.0
Muon,11658.0,11485.0,8537.0,393.0,183.0
QCD Multijet,18067.03760010987,17693.987664097767,8175.849998466614,1186.735952590781,598.9200171580756
TT Had,722.2307844680279,700.6969256803659,558.5568600863191,80.79570644506293,11.031967164169266
TT SL,34974.82406832979,34510.63353371473,32757.150178219847,2383.522463213022,550.6785953807091
TT LL,9828.575315506172,9672.447407072697,9149.845774101554,1605.6191169351532,456.7105553615618
DY+Jets,2819.0384031432545,2784.2900445172104,2652.023263776953,116.4967641724778,43.93951145072445
W+Jets,370.051229086043,357.08656460312545,207.9607990993456,25.87294299162185,10.046877342950527
Z+Jets,255.70091553141725,248.85375661988354,120.41716411143821,38.42581522632092,16.410198790286284
Hbb,28.851537356058948,28.292832546504435,22.55753872470686,14.987315121358147,8.394897508476275
ggF HHbb$\tau\tau$,0.5792342580661106,0.5700113234311002,0.5165599090157179,0.394467231333706,0.19829559754991732
VBF HHbb$\tau\tau$ (SM),0.010563143115359792,0.010167838284653362,0.00907782441562933,0.006378717050084519,0.0031260961797179763
ggF HHbb$\tau_h \mu$,0.12514594539735036,0.12307247872352373,0.11328121432663396,0.08656839268215737,0.08305567006082915
VBF HHbb$\tau_h \mu$ (SM),0.0023793548543278994,0.002302258178205818,0.0020762234725133838,0.0014013071127093686,0.00134662331620075
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.1900536715080747,1.177572220415168,1.1169201918582914,0.9252305630196849,0.9162052605961067
