,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.851025641025641,ttFatJetParTXtauhtaumvsQCDTop >= 0.9887948717948718
JetMET,60601.0,59353.0,47889.0,2465.0,4.0
Tau,4755.0,4704.0,2289.0,96.0,0.0
Muon,11658.0,11485.0,8537.0,148.0,0.0
QCD Multijet,18067.03760010987,17693.987664097767,8175.849998466614,606.1408517207396,0.0
TT Had,722.2307844680279,700.6969256803659,558.5568600863191,37.998262692201294,0.025835480075512996
TT SL,34974.82406832979,34510.63353371473,32757.150178219847,1100.3070333808973,0.3639610208979625
TT LL,9828.575315506172,9672.447407072697,9149.845774101554,453.23011107708896,0.27771748173713956
DY+Jets,2819.0384031432545,2784.2900445172104,2652.023263776953,57.73814168910229,2.191587744702903
W+Jets,370.051229086043,357.08656460312545,207.9607990993456,17.43974846035368,0.0
Z+Jets,255.70091553141725,248.85375661988354,120.41716411143821,29.77042842727503,-0.01665271713898022
Hbb,28.851537356058948,28.292832546504435,22.55753872470686,11.950182869522909,0.1107728093689122
ggF HHbb$\tau_h \mu$,0.12514594539735036,0.12307247872352373,0.11328121432663396,0.06950473230588118,0.0374801917941905
VBF HHbb$\tau_h \mu$ (SM),0.0023793548543278994,0.002302258178205818,0.0020762234725133838,0.00117913746413923,0.0006409477828888347
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.1900536715080747,1.177572220415168,1.1169201918582914,0.8002200511621116,0.60715190544964
