,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD < 0.91 or ttFatJetParTXtauhtauhvsQCDTop < 0.999,ttFatJetParTXtauhtauhvsQCDTop >= 0.3
JetMET,6045.0,5816.0,2563.0,2561.0,2553.0
Tau,876.0,870.0,430.0,430.0,429.0
QCD Multijet,3646.172075696225,3550.661968446777,1478.2406895830384,1478.2406895830384,1477.550231496377
TT Had,91.39574738974021,86.01511651587154,51.94317886081055,51.94317886081055,51.94317886081055
TT SL,226.25945629193905,216.4178164318351,94.3826319920664,94.3826319920664,92.05426189878341
TT LL,103.7871576717723,99.22578243708026,39.68227292756997,39.68227292756997,38.26210418830242
DY+Jets,677.0627250765843,673.8390883071513,491.0880298155453,490.02798680034556,490.0327900840377
W+Jets,76.82287764151708,72.99178466788179,27.755924921904967,27.755924921904967,27.533666666138604
Z+Jets,79.94509473558537,76.70647554355205,18.155470784598748,18.155470784598748,18.005937834137363
Hbb,3.4010267537040413,3.3470368981551686,1.2750889333986994,1.2274406360002421,1.2273273655922212
ggF HHbb$\tau_h\tau_h$,0.11561909904214578,0.11446152520057157,0.07998494740671047,0.0548825726796353,0.054878178588711635
VBF HHbb$\tau_h\tau_h$ (SM),0.0019825937781062317,0.0019234858455091893,0.0012907184732464634,0.0008064678821912844,0.0008064678821912844
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),1.14009370970765,1.1309809005220797,0.9019352173789565,0.4616323330632856,0.4616323330632856
