,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.91 or ttFatJetParTXtauhtauevsQCDTop < 0.999,ttFatJetParTXtauhtauevsQCDTop >= 0.3
JetMET,6466.0,6313.0,3099.0,3099.0,3090.0
Tau,1614.0,1602.0,446.0,446.0,441.0
EGamma,287.0,285.0,97.0,97.0,94.0
QCD Multijet,4233.33523501634,4098.9138326967,1179.6824430006081,1179.6824430006081,1179.58081517288
TT Had,81.6928929177497,77.50203864336332,37.143454044404805,37.143454044404805,37.143454044404805
TT SL,429.3600750817846,411.5737207541402,313.7714451403805,313.65317614341905,307.3135203052858
TT LL,233.5397844599517,223.77343761548778,179.3051840564757,179.3051840564757,173.83184308165443
DY+Jets,1163.178159193995,1158.2076537611592,1118.1676691459515,1116.4859703522088,1114.0622132208127
W+Jets,86.09091923785037,83.61817889761028,29.3220238468744,29.3220238468744,29.3220238468744
Z+Jets,70.51848167793958,68.14858811562107,23.749807602307147,23.749807602307147,23.749807602307147
Hbb,5.830023804532534,5.666752643501794,3.789482301553202,3.7104698765548285,3.707162972685545
ggF HHbb$\tau_h e$,0.09328986698798462,0.09155921041997474,0.0843160366399895,0.06556764397235239,0.06556764397235239
VBF HHbb$\tau_h e$ (SM),0.0016686078040201442,0.0016042010417510475,0.0014649380737400595,0.0010626279435959009,0.0010626279435959009
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),1.110246864527124,1.0996202170600167,1.0410876569718812,0.6350502333344391,0.6350252118827879
