,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD >= 0.91,ttFatJetParTXtauhtauhvsQCDTop >= 0.999
JetMET,12751.0,12398.0,5431.0,329.0,3.0
Tau,2231.0,2215.0,1040.0,37.0,0.0
QCD Multijet,7620.30881606109,7420.837102829285,3369.9096605881136,193.79484756258432,0.07596165672657863
TT Had,193.8309941775222,183.58857267153726,111.56694584138424,4.708249648713477,0.11854335188430497
TT SL,517.1401530401624,493.8022220056271,233.4841015199156,8.044362529554839,0.14991672632210212
TT LL,232.90652431349426,221.62405902042204,97.33744303962393,2.468877778904164,0.0
DY+Jets,1479.8923549689725,1474.300086487992,1088.3551510432212,9.093069741615164,0.8166375049364136
W+Jets,189.53871274327156,186.1219490984779,91.38107349677918,5.5674814042564975,0.0
Z+Jets,144.50235272674706,140.28555599077478,48.22162690596872,15.27922532841089,0.0
Hbb,7.905910461670486,7.685216440991159,3.0997019440680518,1.13910074121653,0.1118172429960683
ggF HHbb$\tau_h\tau_h$,0.25410872649539107,0.25107198954261845,0.17496284165539117,0.08496045663550286,0.0575727973877312
VBF HHbb$\tau_h\tau_h$ (SM),0.004442506687092125,0.0042985983543060826,0.0029362127654718956,0.0014819953831728017,0.0010915084077869827
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),2.5029578083573467,2.4832438056569015,1.9707357298708585,1.2009138842585672,0.9634869251601346
