,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD >= 0.907,BDTScoretauhtauhvsAll >= 0.996
JetMET,6045.0,5816.0,2563.0,143.0,1.0
Tau,876.0,870.0,430.0,20.0,0.0
QCD Multijet,3646.172075696225,3550.661968446777,1478.2406895830384,68.34509878018393,0.0
TT Had,91.39574738974021,86.01511651587154,51.94317886081055,1.7213574207410955,0.0
TT SL,226.25945629193905,216.4178164318351,94.3826319920664,2.9703229385877843,0.046529846538097365
TT LL,103.7871576717723,99.22578243708026,39.68227292756997,0.9556847025743861,0.0
DY+Jets,677.0627250765843,673.8390883071513,491.0880298155453,5.6894879758704935,0.22432650728074072
W+Jets,76.82287764151708,72.99178466788179,27.755924921904967,-0.21654835735806974,0.0
Z+Jets,79.94509473558537,76.70647554355205,18.155470784598748,5.159667546406313,0.023229611507496434
Hbb,3.4010267537040413,3.3470368981551686,1.2750889333986994,0.5164623872449028,0.01998035152968541
ggF HHbb$\tau\tau$,0.2078822665346003,0.20514411672016675,0.14558241725434895,0.06931339473011172,0.017880731889909234
VBF HHbb$\tau\tau$ (SM),0.0036523137713491143,0.0035324426260228145,0.002429292257435217,0.0012265447799517716,0.0003156410158211329
ggF HHbb$\tau_h\tau_h$,0.11561909904214578,0.11446152520057157,0.07998494740671047,0.03705733396190619,0.017286657875517468
VBF HHbb$\tau_h\tau_h$ (SM),0.0019825937781062317,0.0019234858455091893,0.0012907184732464634,0.0006525500378673358,0.0003093765124850677
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),1.14009370970765,1.1309809005220797,0.9019352173789565,0.5475126803038791,0.268400078400537
